id,level,deck,number,japanese,reading,meaning,kanji_note,example,example_ko,source
N5-001,N5,1,1,図書館,としょかん,도서관,図 그림 도 / 書 글 서 / 館 집 관,図書館（としょかん）で本（ほん）を借（か）ります。,도서관에서 책을 빌립니다.,JLPT_N5_vocab.md
N5-002,N5,1,2,貸す,かす,빌려주다,貸 빌릴/빌려줄 대,友（とも）だちに本（ほん）を貸（か）します。,친구에게 책을 빌려줍니다.,JLPT_N5_vocab.md
N5-003,N5,1,3,借りる,かりる,빌리다,借 빌릴 차,図書館（としょかん）で本（ほん）を借（か）ります。,도서관에서 책을 빌립니다.,JLPT_N5_vocab.md
N5-004,N5,1,4,習う,ならう,배우다,習 익힐 습,日本語（にほんご）を習（なら）います。,일본어를 배웁니다.,JLPT_N5_vocab.md
N5-005,N5,1,5,会話する,かいわする,"회화하다, 대화하다",会 모일 회 / 話 말씀 화,日本語（にほんご）で会話（かいわ）したいです。,일본어로 대화하고 싶습니다.,JLPT_N5_vocab.md
N5-006,N5,1,6,辞書,じしょ,사전,辞 말씀 사 / 書 글 서,辞書（じしょ）で意味（いみ）を調（しら）べます。,사전으로 의미를 찾아봅니다.,JLPT_N5_vocab.md
N5-007,N5,1,7,意味,いみ,의미,意 뜻 의 / 味 맛 미,この言葉（ことば）の意味（いみ）は何（なん）ですか。,이 말의 의미는 무엇입니까?,JLPT_N5_vocab.md
N5-008,N5,1,8,向かい,むかい,맞은편,向 향할 향,学校（がっこう）の向（む）かいに本屋（ほんや）があります。,학교 맞은편에 서점이 있습니다.,JLPT_N5_vocab.md
N5-009,N5,1,9,同じ,おなじ,"같다, 같은",同 같을 동,同（おな）じ学校（がっこう）です。,같은 학교입니다.,JLPT_N5_vocab.md
N5-010,N5,1,10,短い,みじかい,짧다,短 짧을 단,この鉛筆（えんぴつ）は短（みじか）いです。,이 연필은 짧습니다.,JLPT_N5_vocab.md
N5-011,N5,1,11,場所,ばしょ,장소,場 마당 장 / 所 바 소,会（あ）う場所（ばしょ）を決（き）めましょう。,만날 장소를 정합시다.,JLPT_N5_vocab.md
N5-012,N5,1,12,店,みせ,가게,店 가게 점,店（みせ）でパンを買（か）います。,가게에서 빵을 삽니다.,JLPT_N5_vocab.md
N5-013,N5,1,13,会う,あう,만나다,会 만날 회,駅（えき）で友（とも）だちに会（あ）います。,역에서 친구를 만납니다.,JLPT_N5_vocab.md
N5-014,N5,1,14,広い,ひろい,넓다,広 넓을 광,この部屋（へや）は広（ひろ）いです。,이 방은 넓습니다.,JLPT_N5_vocab.md
N5-015,N5,1,15,便利だ,べんりだ,편리하다,便 편할 편 / 利 이로울 리,スマホは便利（べんり）です。,스마트폰은 편리합니다.,JLPT_N5_vocab.md
N5-016,N5,1,16,狭い,せまい,좁다,狭 좁을 협,この部屋（へや）は狭（せま）いです。,이 방은 좁습니다.,JLPT_N5_vocab.md
N5-017,N5,1,17,薬屋,くすりや,"약국, 약 가게",薬 약 약 / 屋 집 옥,薬屋（くすりや）で薬（くすり）を買（か）います。,약국에서 약을 삽니다.,JLPT_N5_vocab.md
N5-018,N5,1,18,交番,こうばん,파출소,交 사귈 교 / 番 차례 번,駅（えき）の前（まえ）に交番（こうばん）があります。,역 앞에 파출소가 있습니다.,JLPT_N5_vocab.md
N5-019,N5,1,19,八百屋,やおや,채소가게,八 여덟 팔 / 百 일백 백 / 屋 집 옥,八百屋（やおや）で野菜（やさい）を買（か）います。,채소가게에서 채소를 삽니다.,JLPT_N5_vocab.md
N5-020,N5,1,20,着く,つく,도착하다,着 붙을/입을 착,駅（えき）に着（つ）きました。,역에 도착했습니다.,JLPT_N5_vocab.md
N5-021,N5,1,21,親切だ,しんせつだ,친절하다,親 친할 친 / 切 끊을 절,先生（せんせい）は親切（しんせつ）です。,선생님은 친절합니다.,JLPT_N5_vocab.md
N5-022,N5,1,22,優しい,やさしい,"상냥하다, 다정하다",優 뛰어날/부드러울 우,母（はは）は優（やさ）しいです。,엄마는 상냥합니다.,JLPT_N5_vocab.md
N5-023,N5,1,23,送る,おくる,"보내다, 배웅하다",送 보낼 송,友（とも）だちにメールを送（おく）ります。,친구에게 메일을 보냅니다.,JLPT_N5_vocab.md
N5-024,N5,1,24,病院,びょういん,병원,病 병 병 / 院 집 원,病院（びょういん）へ行（い）きます。,병원에 갑니다.,JLPT_N5_vocab.md
N5-025,N5,1,25,映画館,えいがかん,영화관,映 비칠 영 / 画 그림 화 / 館 집 관,映画館（えいがかん）へ行（い）きます。,영화관에 갑니다.,JLPT_N5_vocab.md
N5-026,N5,1,26,会社,かいしゃ,회사,会 모일 회 / 社 회사 사,父（ちち）は会社（かいしゃ）へ行（い）きます。,아버지는 회사에 갑니다.,JLPT_N5_vocab.md
N5-027,N5,1,27,帰る,かえる,"돌아가다, 돌아오다",帰 돌아갈 귀,家（いえ）に帰（かえ）ります。,집에 돌아갑니다.,JLPT_N5_vocab.md
N5-028,N5,1,28,飲む,のむ,마시다,飲 마실 음,水（みず）を飲（の）みます。,물을 마십니다.,JLPT_N5_vocab.md
N5-029,N5,1,29,料理する,りょうりする,요리하다,料 재료 료 / 理 다스릴 리,家（いえ）で料理（りょうり）をします。,집에서 요리합니다.,JLPT_N5_vocab.md
N5-030,N5,1,30,売る,うる,팔다,売 팔 매,店（みせ）で本（ほん）を売（う）ります。,가게에서 책을 팝니다.,JLPT_N5_vocab.md
N5-031,N5,1,31,要る,いる,필요하다,要 요긴할 요,お金（かね）が要（い）ります。,돈이 필요합니다.,JLPT_N5_vocab.md
N5-032,N5,1,32,使う,つかう,"쓰다, 사용하다",使 부릴 사,辞書（じしょ）を使（つか）います。,사전을 사용합니다.,JLPT_N5_vocab.md
N5-033,N5,1,33,大丈夫だ,だいじょうぶだ,괜찮다,大 클 대 / 丈 어른 장 / 夫 지아비 부,大丈夫（だいじょうぶ）ですか。,괜찮습니까?,JLPT_N5_vocab.md
N5-034,N5,1,34,自分,じぶん,"자기, 자신",自 스스로 자 / 分 나눌 분,自分（じぶん）の名前（なまえ）を書（か）きます。,자기 이름을 씁니다.,JLPT_N5_vocab.md
N5-035,N5,1,35,体,からだ,몸,体 몸 체,体（からだ）が痛（いた）いです。,몸이 아픕니다.,JLPT_N5_vocab.md
N5-036,N5,1,36,洗う,あらう,씻다,洗 씻을 세,手（て）を洗（あら）います。,손을 씻습니다.,JLPT_N5_vocab.md
N5-037,N5,1,37,始まる,はじまる,시작되다,始 비로소 시,授業（じゅぎょう）が始（はじ）まります。,수업이 시작됩니다.,JLPT_N5_vocab.md
N5-038,N5,1,38,売り場,うりば,"매장, 판매장",売 팔 매 / 場 마당 장,靴（くつ）の売（う）り場（ば）はどこですか。,신발 매장은 어디입니까?,JLPT_N5_vocab.md
N5-039,N5,1,39,港,みなと,항구,港 항구 항,港（みなと）に船（ふね）があります。,항구에 배가 있습니다.,JLPT_N5_vocab.md
N5-040,N5,1,40,旅館,りょかん,"여관, 일본식 숙소",旅 나그네 려 / 館 집 관,旅館（りょかん）に泊（と）まります。,여관에 묵습니다.,JLPT_N5_vocab.md
N5-041,N5,1,41,静かだ,しずかだ,조용하다,静 고요할 정,図書館（としょかん）は静（しず）かです。,도서관은 조용합니다.,JLPT_N5_vocab.md
N5-042,N5,1,42,止む,やむ,그치다,止 그칠 지,雨（あめ）が止（や）みました。,비가 그쳤습니다.,JLPT_N5_vocab.md
N5-043,N5,1,43,止まる,とまる,멈추다,止 그칠 지,車（くるま）が止（と）まります。,차가 멈춥니다.,JLPT_N5_vocab.md
N5-044,N5,1,44,会議,かいぎ,회의,会 모일 회 / 議 의논할 의,明日（あした）、会議（かいぎ）があります。,내일 회의가 있습니다.,JLPT_N5_vocab.md
N5-045,N5,1,45,計画,けいかく,계획,計 셀 계 / 画 그림 화,旅行（りょこう）の計画（けいかく）を立（た）てます。,여행 계획을 세웁니다.,JLPT_N5_vocab.md
N5-046,N5,1,46,結果,けっか,결과,結 맺을 결 / 果 열매 과,試験（しけん）の結果（けっか）を見（み）ます。,시험 결과를 봅니다.,JLPT_N5_vocab.md
